date,hour,shop,sensor_id,count,units
2024-07-01,1,Madrid,0,0,visits
2024-07-01,2,Madrid,0,0,visits
2024-07-01,3,Madrid,0,0,visits
2024-07-01,4,Madrid,0,0,visits
2024-07-01,5,Madrid,0,0,visits
2024-07-01,6,Madrid,0,0,visits
2024-07-01,7,Madrid,0,0,visits
2024-07-01,8,Madrid,0,1293,visits
2024-07-01,9,Madrid,0,856,visits
2024-07-01,10,Madrid,0,1043,visits
2024-07-01,11,Madrid,0,923,visits
2024-07-01,12,Madrid,0,835,visits
2024-07-01,13,Madrid,0,1011,visits
2024-07-01,14,Madrid,0,1159,visits
2024-07-01,15,Madrid,0,861,visits
2024-07-01,16,Madrid,0,1027,visits
2024-07-01,17,Madrid,0,652,visits
2024-07-01,18,Madrid,0,0,visits
2024-07-01,19,Madrid,0,0,visits
2024-07-01,20,Madrid,0,0,visits
2024-07-01,21,Madrid,0,0,visits
2024-07-01,22,Madrid,0,0,visits
2024-07-01,23,Madrid,0,0,visits
2024-07-02,0,Madrid,0,0,visits
2024-07-02,1,Madrid,0,0,visits
2024-07-02,2,Madrid,0,0,visits
2024-07-02,3,Madrid,0,0,visits
2024-07-02,4,Madrid,0,0,visits
2024-07-02,5,Madrid,0,0,visits
2024-07-02,6,Madrid,0,0,visits
2024-07-02,7,Madrid,0,0,visits
2024-07-02,8,Madrid,0,856,visits
2024-07-02,9,Madrid,0,1043,visits
2024-07-02,10,Madrid,0,923,visits
2024-07-02,11,Madrid,0,835,visits
2024-07-02,12,Madrid,0,1011,visits
2024-07-02,13,Madrid,0,1159,visits
2024-07-02,14,Madrid,0,861,visits
2024-07-02,15,Madrid,0,1027,visits
2024-07-02,16,Madrid,0,652,visits
2024-07-02,17,Madrid,0,977,visits
2024-07-02,18,Madrid,0,0,visits
2024-07-02,19,Madrid,0,0,visits
2024-07-02,20,Madrid,0,0,visits
2024-07-02,21,Madrid,0,0,visits
2024-07-02,22,Madrid,0,0,visits
2024-07-02,23,Madrid,0,0,visits
2024-07-03,0,Madrid,0,0,visits
2024-07-03,1,Madrid,0,0,visits
2024-07-03,2,Madrid,0,0,visits
2024-07-03,3,Madrid,0,0,visits
2024-07-03,4,Madrid,0,0,visits
2024-07-03,5,Madrid,0,0,visits
2024-07-03,6,Madrid,0,0,visits
2024-07-03,7,Madrid,0,0,visits
2024-07-03,8,Madrid,0,1043,visits
2024-07-03,9,Madrid,0,923,visits
2024-07-03,10,Madrid,0,835,visits
2024-07-03,11,Madrid,0,1011,visits
2024-07-03,12,Madrid,0,1159,visits
2024-07-03,13,Madrid,0,861,visits
2024-07-03,14,Madrid,0,1027,visits
2024-07-03,15,Madrid,0,652,visits
2024-07-03,16,Madrid,0,977,visits
2024-07-03,17,Madrid,0,929,visits
2024-07-03,18,Madrid,0,0,visits
2024-07-03,19,Madrid,0,0,visits
2024-07-03,20,Madrid,0,0,visits
2024-07-03,21,Madrid,0,0,visits
2024-07-03,22,Madrid,0,0,visits
2024-07-03,23,Madrid,0,0,visits
2024-07-04,0,Madrid,0,0,visits
2024-07-04,1,Madrid,0,0,visits
2024-07-04,2,Madrid,0,0,visits
2024-07-04,3,Madrid,0,0,visits
2024-07-04,4,Madrid,0,0,visits
2024-07-04,5,Madrid,0,0,visits
2024-07-04,6,Madrid,0,0,visits
2024-07-04,7,Madrid,0,0,visits
2024-07-04,8,Madrid,0,923,visits
2024-07-04,9,Madrid,0,835,visits
2024-07-04,10,Madrid,0,1011,visits
2024-07-04,11,Madrid,0,1159,visits
2024-07-04,12,Madrid,0,861,visits
2024-07-04,13,Madrid,0,1027,visits
2024-07-04,14,Madrid,0,652,visits
2024-07-04,15,Madrid,0,977,visits
2024-07-04,16,Madrid,0,929,visits
2024-07-04,17,Madrid,0,1009,visits
2024-07-04,18,Madrid,0,0,visits
2024-07-04,19,Madrid,0,0,visits
2024-07-04,20,Madrid,0,0,visits
2024-07-04,21,Madrid,0,0,visits
2024-07-04,22,Madrid,0,0,visits
2024-07-04,23,Madrid,0,0,visits
2024-07-05,0,Madrid,0,0,visits
2024-07-05,1,Madrid,0,0,visits
2024-07-05,2,Madrid,0,0,visits
2024-07-05,3,Madrid,0,0,visits
2024-07-05,4,Madrid,0,0,visits
2024-07-05,5,Madrid,0,0,visits
2024-07-05,6,Madrid,0,0,visits
2024-07-05,7,Madrid,0,0,visits
2024-07-05,8,Madrid,0,835,visits
2024-07-05,9,Madrid,0,1011,visits
2024-07-05,10,Madrid,0,1159,visits
2024-07-05,11,Madrid,0,861,visits
2024-07-05,12,Madrid,0,1027,visits
2024-07-05,13,Madrid,0,652,visits
2024-07-05,14,Madrid,0,977,visits
2024-07-05,15,Madrid,0,929,visits
2024-07-05,16,Madrid,0,1009,visits
2024-07-05,17,Madrid,0,983,visits
2024-07-05,18,Madrid,0,0,visits
2024-07-05,19,Madrid,0,0,visits
2024-07-05,20,Madrid,0,0,visits
2024-07-05,21,Madrid,0,0,visits
2024-07-05,22,Madrid,0,0,visits
2024-07-05,23,Madrid,0,0,visits
2024-07-06,0,Madrid,0,0,visits
2024-07-06,1,Madrid,0,0,visits
2024-07-06,2,Madrid,0,0,visits
2024-07-06,3,Madrid,0,0,visits
2024-07-06,4,Madrid,0,0,visits
2024-07-06,5,Madrid,0,0,visits
2024-07-06,6,Madrid,0,0,visits
2024-07-06,7,Madrid,0,0,visits
2024-07-06,8,Madrid,0,1011,visits
2024-07-06,9,Madrid,0,1159,visits
2024-07-06,10,Madrid,0,861,visits
2024-07-06,11,Madrid,0,1027,visits
2024-07-06,12,Madrid,0,652,visits
2024-07-06,13,Madrid,0,977,visits
2024-07-06,14,Madrid,0,929,visits
2024-07-06,15,Madrid,0,1009,visits
2024-07-06,16,Madrid,0,983,visits
2024-07-06,17,Madrid,0,1391,visits
2024-07-06,18,Madrid,0,0,visits
2024-07-06,19,Madrid,0,0,visits
2024-07-06,20,Madrid,0,0,visits
2024-07-06,21,Madrid,0,0,visits
2024-07-06,22,Madrid,0,0,visits
2024-07-06,23,Madrid,0,0,visits
2024-07-07,0,Madrid,0,0,visits
2024-07-07,1,Madrid,0,0,visits
2024-07-07,2,Madrid,0,0,visits
2024-07-07,3,Madrid,0,0,visits
2024-07-07,4,Madrid,0,0,visits
2024-07-07,5,Madrid,0,0,visits
2024-07-07,6,Madrid,0,0,visits
2024-07-07,7,Madrid,0,0,visits
2024-07-07,8,Madrid,0,0,visits
2024-07-07,9,Madrid,0,0,visits
2024-07-07,10,Madrid,0,0,visits
2024-07-07,11,Madrid,0,0,visits
2024-07-07,12,Madrid,0,0,visits
2024-07-07,13,Madrid,0,0,visits
